path,category,sha256,size_bytes,redistribution_class,contains_source_values,included,reason
.gitattributes,PUBLIC_REPOSITORY_SAFEGUARD,757320c10b8f472d2f04a26405b616d7da2cf87c277b8b62f8088f7458de4543,559,PUBLIC_REPOSITORY_SAFEGUARD,NO,YES,Cross-platform line-ending and byte-preservation rules for release integrity
.gitignore,PUBLIC_REPOSITORY_SAFEGUARD,853e0b90ac2f9bf35c541b2ec83fcc78aa6d7791a07dbb67e736d3c06338049c,735,PUBLIC_REPOSITORY_SAFEGUARD,NO,YES,Preventive ignore rules for private/source-bearing and local generated files; does not change third-party licensing
DATA_ACCESS.md,PUBLIC_DOCUMENTATION,9a0e4b44baf173d64f74276edea5ebec76e5fa86488b4dc5fe501eb263777337,4597,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
LICENSE,SOFTWARE_LICENSE,9f1abe28a25b5f6f95c58a81a647de3fa72ff6388d228c59bddd079255709989,1068,SOFTWARE_LICENSE,NO,YES,MIT licence for original project software
MODE_A_RELEASE_MANIFEST.csv,PACKAGE_INTEGRITY_METADATA,SELF_REFERENCE_NOT_APPLICABLE,20328,PACKAGE_INTEGRITY_METADATA,NO,YES,Every release artifact is inventoried once; self-hash is intentionally omitted to avoid recursion
MODE_A_SHA256SUMS.txt,PACKAGE_INTEGRITY_METADATA,ce1fe187469f2008a03373bde0e01ac8f81a11313d627adcc95acc3d5e1963f1,9244,PACKAGE_INTEGRITY_METADATA,NO,YES,Integrity control for every ordinary payload file; excludes both recursive control files
NOTICE.md,PUBLIC_DOCUMENTATION,3b633dad8bcea08e542923c55afb731d39deb21bf3a8793b2828c07b59e14130,2007,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
README.md,PUBLIC_DOCUMENTATION,8a2413a4d5d4ef7cd472029c98b21daf3a94f127a1ce9e0ecb434e2e8a736369,5088,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
REPRODUCIBILITY.md,PUBLIC_DOCUMENTATION,4470d9c11b66d1b9d9bf09d19aebcba8cdc2dde27d6c7e41ed8803e721203ae9,6418,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
config/frozen_ml_configuration_map.csv,SOURCE_OBSERVATION_FREE_FROZEN_CONFIGURATION,ed959f2241b559509a4cd14b7411772726c6bdabd3d4e76787fdce25689b5fad,37693,SOURCE_OBSERVATION_FREE_FROZEN_CONFIGURATION,NO,YES,Exact frozen classical-ML configuration map required for benchmark execution; no annual source observations
config/frozen_neural_configuration_map_l3.csv,SOURCE_OBSERVATION_FREE_FROZEN_CONFIGURATION,f323e21732147116fd22690f7aaeb79b0999076050e006538157a200bf6c33c3,24604,SOURCE_OBSERVATION_FREE_FROZEN_CONFIGURATION,NO,YES,Exact frozen neural configuration map required for benchmark execution; no annual source observations
config/round2_frozen_evaluation_protocol.json,VALUE_FREE_FROZEN_PROTOCOL,3f9ab7d20a29451bc2a105492195c415b25ee9d09ece1b7ca492e7bd0942cf5f,68603,VALUE_FREE_FROZEN_PROTOCOL,NO,YES,Frozen design metadata; required authoritative protocol
environment/ENVIRONMENT.md,SOFTWARE_ENVIRONMENT,452ebeea170b0e3783fa1e2de73f5eadbab0291414be4d9edd01200b0e5775b5,1387,SOFTWARE_ENVIRONMENT,NO,YES,Dependency or sanitized execution-environment metadata
figures/FIGURE_CAPTIONS.md,PUBLIC_DOCUMENTATION,5d876d94836e346966edbfa96a758878f417ea3505c3528a4372980500ccfc32,3026,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
figures/FIGURE_PROVENANCE.md,PUBLIC_DOCUMENTATION,dea455e51682a3f6c0df6b22e17ec0eb9c65f43d568e783c95d6a9cb4e40ca9c,1446,PUBLIC_DOCUMENTATION,NO,YES,Release-specific technical documentation; no source observations
figures/appendix_figure_a1_neural_ablations.pdf,SAFE_AGGREGATE_FIGURE,ba1071d012f1742c07bd69676bf55768314e2e7788c8beafc6ad1a127c316ea9,81694,SAFE_AGGREGATE_FIGURE,NO,YES,Visual inspection confirms design or aggregate results only
